"neuron";"scanned.paper.id";"neuromorpho.name";"species";"area";"layer";"rotated";"archive";"original.type";"paper"
153;"";"KP051607complete";"Mouse";"Somatosensory";"not reported";FALSE;"Yuste";"Not reported";"Two-photon photostimulation and imaging of neural circuits"
154;"";"04-17-01-4doubleBouquet";"Monkey";"Prefrontal";"II/III";FALSE;"Gonzalez-Burgos";"Double bouquet cell";"Cluster analysis-based physiological classification and morphological properties of inhibitory neurons in layers 2-3 of monkey dorsolateral prefrontal cortex"
155;"";"C010600B2";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Martinotti cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
156;"lund1993fig11bN1";"";"Monkey";"Prefrontal";"IV";FALSE;NA;NA;NA
157;"";"030223-2-PV";"Mouse";"Visual";"IV";FALSE;"Yuste";"Parvalbumin (PV) containing cell";"Correlation between axonal morphologies and synaptic input kinetics of interneurons from mouse visual cortex"
158;"";"2002-11-25-A-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
159;"";"MJ062904-2";"Mouse";"Frontal";"II/III";FALSE;"Yuste";"Not reported";"Large-scale imaging of cortical network activity with calcium indicators"
160;"lund1987fig10y11N1";"";"Monkey";"Visual";"V";FALSE;NA;NA;NA
161;"";"C200897C-I1";"Rat";"Somatosensory";"IV";TRUE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
162;"";"05-30-01-5mediumArbor";"Monkey";"Prefrontal";"II/III";FALSE;"Gonzalez-Burgos";"Basket cell";"Cluster analysis-based physiological classification and morphological properties of inhibitory neurons in layers 2-3 of monkey dorsolateral prefrontal cortex"
163;"";"C160998B-I";"Rat";"Somatosensory";"V";FALSE;"Markram";"Bitufted cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
164;"";"VN031605-0";"Mouse";"Somatosensory";"not reported";FALSE;"Yuste";"Martinotti cell";"Two-photon photostimulation and imaging of neural circuits"
165;"";"DD030223-2-PV";"Mouse";"Area not reported";"not reported";FALSE;"Yuste";"Parvalbumin (PV) containing cell";"Calcium microdomains in aspiny dendrites"
166;"";"C230300D1";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
167;"";"C260897C-I1";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
168;"peters1981fig8N1";"";"Cat";"Visual";"II/III";FALSE;NA;NA;NA
169;"CCfig9N3";"";"Cat";"Visual";"III";FALSE;NA;NA;NA
170;"";"C200199B-I4";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Bitufted cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
171;"";"C070600A2";"Rat";"Somatosensory";"IV";TRUE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
172;"";"C140600C-I1";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Bipolar cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
173;"lund1987fig16N1";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
174;"";"C290500B-I2";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
175;"kisvarday1990fig3N16";"";"Human";"Temporal";"II/III";FALSE;NA;NA;NA
176;"";"030225-4-PV";"Mouse";"Visual";"not reported";FALSE;"Yuste";"Parvalbumin (PV) containing cell";"Correlation between axonal morphologies and synaptic input kinetics of interneurons from mouse visual cortex"
177;"";"MD070424-1(cor)";"Mouse";"Somatosensory";"not reported";FALSE;"Yuste";"Not reported";"Two-photon photostimulation and imaging of neural circuits"
178;"";"C100501A3";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Martinotti cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
179;"lund1993fig17N1";"";"Monkey";"Prefrontal";"III";FALSE;NA;NA;NA
180;"";"C130897B-I4";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
181;"";"AM47-3-1";"Mouse";"Visual";"not reported";FALSE;"Yuste";"Not reported";"Modular propagation of epileptiform activity: evidence for an inhibitory veto in neocortex"
182;"";"Vn05192006-0-1-C";"Mouse";"Somatosensory";"not reported";FALSE;"Yuste";"Somatostatin (SOM) containing cell";"Two-photon photostimulation and imaging of neural circuits"
183;"";"C010600C1";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
184;"";"C150897B-I1";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Martinotti cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
185;"";"C280199C-I4";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Martinotti cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
186;"";"C281197A-I2";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
187;"";"C040600A2";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
188;"lund1991fig14N1";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
189;"";"DAG032F";"Mouse";"Visual";"not reported";FALSE;"Yuste";"Not reported";"Attractor dynamics of network UP states in the neocortex"
190;"";"HM05906-3";"Mouse";"Somatosensory";"IV";FALSE;"Yuste";"Not reported";"Two-photon photostimulation and imaging of neural circuits"
191;"";"2001-09-10-A-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
192;"";"020531-3-NPY";"Mouse";"Visual";"IV";FALSE;"Yuste";"Neuropeptide Y (NPY) containing cell";"Correlation between axonal morphologies and synaptic input kinetics of interneurons from mouse visual cortex"
193;"lund1991fig4N1";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
194;"";"C240998A-I3";"Rat";"Somatosensory";"II/III";TRUE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
195;"";"03-27-01-s5neurogliaform";"Monkey";"Prefrontal";"II/III";FALSE;"Gonzalez-Burgos";"Neurogliaform cell";"Cluster analysis-based physiological classification and morphological properties of inhibitory neurons in layers 2-3 of monkey dorsolateral prefrontal cortex"
196;"";"C210401C";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Bitufted cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
197;"lund1991fig15N1";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
198;"CCfig4N2";"";"Monkey";"Somatosensory";"IV";FALSE;NA;NA;NA
199;"";"JM080803-20";"Mouse";"Somatosensory";"IV";FALSE;"Yuste";"Not reported";"Internal dynamics determine the cortical response to thalamic stimulation"
200;"";"JM090103-10-1";"Mouse";"Somatosensory";"IV";FALSE;"Yuste";"Stellate cell";"Internal dynamics determine the cortical response to thalamic stimulation"
201;"";"C271097A-I4";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
202;"";"C060998B-I1";"Rat";"Somatosensory";"IV";TRUE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
203;"";"C150600B-I1";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Martinotti cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
204;"";"020515-2-NPY";"Mouse";"Visual";"IV";FALSE;"Yuste";"Neuropeptide Y (NPY) containing cell";"Correlation between axonal morphologies and synaptic input kinetics of interneurons from mouse visual cortex"
205;"";"07-16-02-3doubleBouquet";"Monkey";"Prefrontal";"II/III";FALSE;"Gonzalez-Burgos";"Double bouquet cell";"Cluster analysis-based physiological classification and morphological properties of inhibitory neurons in layers 2-3 of monkey dorsolateral prefrontal cortex"
206;"";"C060600A3";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
207;"lund1987fig13N1";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
208;"";"C070600B2";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Martinotti cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
209;"lund1991fig3N1";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
210;"";"C050600B2";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Martinotti cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
211;"peters1981fig1N2";"";"Cat";"Visual";"II/III";FALSE;NA;NA;NA
212;"kisvarday1990fig3N23";"";"Human";"Temporal";"VI";FALSE;NA;NA;NA
213;"lund1993fig3N1";"";"Monkey";"Prefrontal";"II";FALSE;NA;NA;NA
214;"";"030225-5-PV";"Mouse";"Visual";"not reported";FALSE;"Yuste";"Parvalbumin (PV) containing cell";"Correlation between axonal morphologies and synaptic input kinetics of interneurons from mouse visual cortex"
